county,town,year,avg_house_price,median_house_price,transaction_count,avg_download_speed,max_download_speed,sfbb_coverage,ufbb_coverage,gigabit_coverage,postcode_count,drug_offence,robbery,vehicle_crime
Cumberland,CARLISLE,2022,247639.3364685763,160000,2339,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,CARLISLE,2023,201256.7823328453,152000,2049,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,CARLISLE,2024,215344.32212475635,160000,2052,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,CARNFORTH,2021,360735.3222222222,311250,270,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,CARNFORTH,2022,350243.375,310000,176,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,CARNFORTH,2023,382571.7391304347,365000,23,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,CLEATOR,2021,155811.70212765958,82500,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,CLEATOR,2022,129143.42105263156,88750,38,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,CLEATOR,2023,154071.39285714287,96500,28,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,CLEATOR,2024,139736.7105263158,112500,38,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,CLEATOR MOOR,2021,147572.77852348992,128000,149,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,CLEATOR MOOR,2022,171632.74590163934,112550,122,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,CLEATOR MOOR,2023,159318.28070175438,124000,114,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,CLEATOR MOOR,2024,161526.58227848102,115000,79,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,COCKERMOUTH,2021,264079.06150341686,240000,439,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,COCKERMOUTH,2022,279206.4675,240000,400,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,COCKERMOUTH,2023,264676.1523809524,240000,315,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,COCKERMOUTH,2024,289864.7539432177,250000,317,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,CONISTON,2021,498982.7586206897,384000,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,CONISTON,2022,478285.71428571426,400000,7,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,CONISTON,2023,250000,250000,1,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,DALTON-IN-FURNESS,2021,147976.16504854368,135000,206,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,DALTON-IN-FURNESS,2022,171871.9401197605,150000,167,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,DALTON-IN-FURNESS,2023,155017.70833333334,140000,24,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,EGREMONT,2021,161832.06214689263,128000,177,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,EGREMONT,2022,156573.26241134753,124950,141,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,EGREMONT,2023,148524.23076923078,110000,117,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,EGREMONT,2024,158078.2962962963,120000,135,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,FRIZINGTON,2021,193373.6796875,142750,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,FRIZINGTON,2022,207987.72413793104,145000,87,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,FRIZINGTON,2023,164221.70454545456,116000,88,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,FRIZINGTON,2024,191148.02631578947,132500,76,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,GRANGE-OVER-SANDS,2021,306086.8229166667,275000,288,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,GRANGE-OVER-SANDS,2022,315139.91397849465,278500,186,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,GRANGE-OVER-SANDS,2023,315519.23076923075,293500,26,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,GRETNA,2021,460000,460000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,GRETNA,2022,448500,448500,1,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,HOLMROOK,2021,406858.34285714285,345000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,HOLMROOK,2022,380623.0625,207500,16,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,HOLMROOK,2023,375153.8461538461,312000,13,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,HOLMROOK,2024,420250,430000,12,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,KENDAL,2021,282823.41674975073,240000,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,KENDAL,2022,327176.4881656805,250000,676,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,KENDAL,2023,312924.2987012987,266750,77,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,KESWICK,2021,456206.8529411765,350000,238,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,KESWICK,2022,452244.1955307263,400000,179,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,KESWICK,2023,463928.8139534884,375000,129,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,KESWICK,2024,515829.61744966445,425000,149,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,KIRKBY STEPHEN,2021,318851.3888888889,267500,108,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,KIRKBY STEPHEN,2022,280954.44444444444,250000,90,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,KIRKBY STEPHEN,2023,170800,151500,5,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,KIRKBY-IN-FURNESS,2021,315757.14285714284,280000,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,KIRKBY-IN-FURNESS,2022,280525.2631578947,245000,19,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,KIRKBY-IN-FURNESS,2023,263500,250000,3,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,MARYPORT,2021,136360.45833333334,120000,336,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,MARYPORT,2022,146123.9094488189,130250,254,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
